Lat,emmean,lower.HPD,upper.HPD,Major.group
-23.73,24.78175914,19.98391436,29.67518817,Reptile
-23.48,24.84102512,19.93249413,29.62491408,Reptile
-23.23,24.89871697,20.00006823,29.6937682,Reptile
-22.98,24.95321283,20.05469547,29.76262231,Reptile
-22.73,25.01049045,20.17777791,29.88137557,Reptile
-22.48,25.06590438,20.22837219,29.93460002,Reptile
-22.23,25.1234891,20.27069467,29.98129059,Reptile
-21.98,25.17898422,20.32615533,30.04353726,Reptile
-21.73,25.24171562,20.40597488,30.13038517,Reptile
-21.48,25.3025836,20.47361499,30.19263757,Reptile
-21.23,25.3634378,20.52340429,30.25488997,Reptile
-20.98,25.42268323,20.54326746,30.32421128,Reptile
-20.73,25.48528545,20.55375599,30.3547706,Reptile
-20.48,25.53822996,20.5829938,30.40159246,Reptile
-20.23,25.59400955,20.63172967,30.47926394,Reptile
-19.98,25.6481744,20.71022237,30.56615197,Reptile
-19.73,25.71185482,20.76484961,30.62840437,Reptile
-19.48,25.76993212,20.80322376,30.6940915,Reptile
-19.23,25.82482866,20.79056595,30.73227735,Reptile
-18.98,25.88698084,20.84239351,30.81516157,Reptile
-18.73,25.94874091,20.85155851,30.85274396,Reptile
-18.48,26.00487906,21.03798582,31.040316,Reptile
-18.23,26.06977037,20.96522237,31.01061118,Reptile
-17.98,26.12502477,21.08006403,31.13970462,Reptile
-17.73,26.18337083,21.12183398,31.20855873,Reptile
-17.48,26.24090483,21.0769172,31.20852976,Reptile
-17.23,26.30107416,21.12910496,31.25471928,Reptile
-16.98,26.36678821,21.14536792,31.29383425,Reptile
-16.73,26.4311013,21.18745535,31.34137251,Reptile
-16.48,26.49868589,21.23351836,31.41296399,Reptile
-16.23,26.5631512,21.27394105,31.49993796,Reptile
-15.98,26.61601104,21.31015007,31.56219036,Reptile
-15.73,26.66687791,21.3373311,31.62444276,Reptile
-15.48,26.73145789,21.38256812,31.69316988,Reptile
-15.23,26.79734665,21.41877714,31.76352935,Reptile
-14.98,26.84556897,21.45498616,31.83388882,Reptile
-14.73,26.89955351,21.49119519,31.9042483,Reptile
-14.48,26.95266245,21.52740421,31.97460777,Reptile
-14.23,27.00037881,21.5409413,32.01391801,Reptile
-13.98,27.05849988,21.59289915,32.09324006,Reptile
-13.73,27.11783186,21.70457575,32.22331633,Reptile
